model,scope,category,metric,value
phi3,overall,,avg_latency,11.533
phi3,overall,,median_latency,8.494
phi3,overall,,min_latency,5.369
phi3,overall,,max_latency,57.861
phi3,overall,,avg_answer_length_words,130.5
phi3,overall,,avg_sources,1.733
phi3,category,budget,avg_latency,9.297
phi3,category,budget,avg_answer_length_words,175.4
phi3,category,disease_burden,avg_latency,8.681
phi3,category,disease_burden,avg_answer_length_words,80.2
phi3,category,infrastructure,avg_latency,8.01
phi3,category,infrastructure,avg_answer_length_words,119.6
phi3,category,maternal_health,avg_latency,8.91
phi3,category,maternal_health,avg_answer_length_words,92.0
phi3,category,policy,avg_latency,14.942
phi3,category,policy,avg_answer_length_words,123.8
phi3,category,workforce,avg_latency,19.36
phi3,category,workforce,avg_answer_length_words,192.0
gemma3,overall,,avg_latency,12.099
gemma3,overall,,median_latency,8.914
gemma3,overall,,min_latency,4.994
gemma3,overall,,max_latency,105.177
gemma3,overall,,avg_answer_length_words,119.533
gemma3,overall,,avg_sources,1.733
gemma3,category,budget,avg_latency,7.444
gemma3,category,budget,avg_answer_length_words,65.2
gemma3,category,disease_burden,avg_latency,11.088
gemma3,category,disease_burden,avg_answer_length_words,165.4
gemma3,category,infrastructure,avg_latency,8.672
gemma3,category,infrastructure,avg_answer_length_words,118.2
gemma3,category,maternal_health,avg_latency,8.624
gemma3,category,maternal_health,avg_answer_length_words,133.6
gemma3,category,policy,avg_latency,8.598
gemma3,category,policy,avg_answer_length_words,143.2
gemma3,category,workforce,avg_latency,28.165
gemma3,category,workforce,avg_answer_length_words,91.6
